Timestamp,Email Address,Star Wars: The Last Jedi,Beauty and the Beast (2017),Wonder Woman,Guardians of the Galaxy Vol. 2,Jumanji: Welcome to the Jungle,Spider-Man: Homecoming
2/5/2018 7:25:53,Redacted Unique 01,3,1,2,3,3,4
2/5/2018 7:27:25,Redacted Unique 02,5,4,0,0,5,0
2/5/2018 7:43:56,Redacted Unique 03,5,0,0,5,0,5
2/5/2018 7:45:10,Redacted Unique 04,3,0,4,3,0,5
2/5/2018 7:46:36,Redacted Unique 05,4,0,0,5,0,0
2/5/2018 7:49:44,Redacted Unique 06,3,0,0,3,0,0
2/5/2018 7:55:32,Redacted Unique 07,5,0,0,4,0,0
2/5/2018 7:55:36,Redacted Unique 08,0,3,3,3,0,0
2/5/2018 7:55:45,Redacted Unique 09,4,0,5,0,0,0
2/5/2018 7:55:58,Redacted Unique 10,4,0,4,5,0,0
2/5/2018 7:56:05,Redacted Unique 11,4,0,2,5,0,4
2/5/2018 7:57:25,Redacted Unique 12,4,0,5,4,4,4
2/5/2018 8:03:18,Redacted Unique 13,3,0,5,4,0,4
2/5/2018 8:08:01,Redacted Unique 14,0,3,4,5,0,0
2/5/2018 8:39:40,Redacted Unique 15,0,0,0,0,0,0
2/5/2018 8:42:28,Redacted Unique 16,3,0,3,4,0,5
2/5/2018 8:47:04,Redacted Unique 17,4,0,5,0,0,0
2/5/2018 8:49:39,Redacted Unique 18,0,0,0,0,0,0
2/5/2018 8:49:43,Redacted Unique 19,0,0,4,5,0,4
2/5/2018 8:49:47,Redacted Unique 20,4,3,0,5,4,4
2/5/2018 8:49:47,Redacted Unique 21,0,0,4,0,0,0
2/5/2018 8:49:50,Redacted Unique 22,4,0,0,2,0,0
2/5/2018 8:49:52,Redacted Unique 23,2,3,0,2,2,2
2/5/2018 8:49:55,Redacted Unique 24,5,0,4,5,5,5
2/5/2018 8:49:57,Redacted Unique 25,0,0,0,0,0,0
2/5/2018 8:50:02,Redacted Unique 26,0,0,0,0,0,0
2/5/2018 8:50:12,Redacted Unique 27,0,0,0,0,0,0
2/5/2018 8:50:20,Redacted Unique 28,4,0,5,5,5,4
2/5/2018 8:50:33,Redacted Unique 29,5,0,5,5,0,5
2/5/2018 8:50:43,Redacted Unique 30,0,0,0,0,0,0
2/5/2018 8:50:57,Redacted Unique 31,3,0,3,4,0,5
2/5/2018 8:51:51,Redacted Unique 32,1,0,5,3,0,4
